trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
438,False,"{'a': 0.2, 'e': 0.03031841485750294}",20,12,13.85378967146394,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.2, 'e': 0.03007683514591303}",25,6,29.390405591928598,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.2, 'e': 0.029837180362038706}",35,21,23.833777699400684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.2, 'e': 0.029599435167892}",25,14,9.790462326147138,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
442,False,"{'a': 0.2, 'e': 0.029363584347699333}",20,5,27.32118127290622,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.2, 'e': 0.02912961280692771}",30,16,23.396802328961314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.2, 'e': 0.028897505571318663}",25,6,27.237937197498372,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.2, 'e': 0.02866724778592988}",25,12,25.266235074603344,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.2, 'e': 0.028438824714184505}",30,19,21.730005679704657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.2, 'e': 0.02821222173692798}",25,14,22.917564372307993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.2, 'e': 0.027987424351492405}",20,15,9.324671607479821,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.2, 'e': 0.02776441817076839}",20,8,17.754461814345184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.2, 'e': 0.02754318892228425}",20,0,34.31008664612414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
451,False,"{'a': 0.2, 'e': 0.02732372244729256}",25,20,9.311205249472149,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.2, 'e': 0.027106004699864013}",20,8,19.886884459883337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.2, 'e': 0.026890021745988462}",20,12,15.475849762146021,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.2, 'e': 0.026675759762683132}",20,0,10.216732526470278,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
455,False,"{'a': 0.2, 'e': 0.026463205037107963}",25,18,16.738425611663846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.2, 'e': 0.02625234396568796}",20,12,17.63782588232138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.2, 'e': 0.02604316305324258}",20,8,21.977903687211217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.2, 'e': 0.025835648912122026}",35,25,7.222345273104579,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
459,False,"{'a': 0.2, 'e': 0.02562978826135044}",30,16,29.067879625487766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.2, 'e': 0.025425567925775893}",20,16,5.183397442163722,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.2, 'e': 0.025222974835227212}",20,13,12.748735516553872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.2, 'e': 0.025021996023677443}",20,11,13.533235611869276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.2, 'e': 0.02482261862841405}",30,18,22.766996449099867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.2, 'e': 0.024624829889215685}",30,17,22.98878739675543,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.2, 'e': 0.024428617147535518}",20,10,21.06962250854774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.2, 'e': 0.024233967845691113}",30,10,35.014120261440226,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.2, 'e': 0.024040869526060712}",30,18,20.167038427420586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.2, 'e': 0.023849309830285947}",25,9,28.6546597576084,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.2, 'e': 0.0236592764984809}",20,12,14.932908065424844,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.2, 'e': 0.023470757368447476}",20,11,6.781491730748814,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
471,False,"{'a': 0.2, 'e': 0.023283740374897}",25,15,15.54732194036453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.2, 'e': 0.02309821354867805}",25,10,16.90459021173781,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
473,False,"{'a': 0.2, 'e': 0.022914165016010422}",20,10,17.522410858606285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.2, 'e': 0.022731582997725205}",25,16,15.788298498227356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.2, 'e': 0.022550455808510905}",20,8,19.96064188890804,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.2, 'e': 0.02237077185616559}",30,13,32.18519240784257,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.2, 'e': 0.022192519640854974}",20,8,20.327762796799206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.2, 'e': 0.02201568775437644}",25,19,12.000365767726604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.2, 'e': 0.021840264879428885}",20,11,18.156812605983667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.2, 'e': 0.02166623978888844}",25,11,23.503702952859253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.2, 'e': 0.021493601345089923}",20,8,22.928172882581883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.2, 'e': 0.02132233849911398}",20,9,20.211660108231627,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.2, 'e': 0.021152440290080017}",30,14,26.172793352368828,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.2, 'e': 0.02098389584444467}",25,17,16.279067647499474,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.2, 'e': 0.020816694375305884}",20,0,31.972773437213203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
486,False,"{'a': 0.2, 'e': 0.020650825181712566}",20,11,17.283092194421954,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.2, 'e': 0.020486277647979705}",20,11,16.563897212190685,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.2, 'e': 0.020323041243008984}",20,0,34.12405953716731,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
489,False,"{'a': 0.2, 'e': 0.02016110551961476}",20,9,20.89522407852849,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.2, 'e': 0.02000046011385546}",25,18,11.705941540557376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.2, 'e': 0.019841094744370288}",25,18,12.158388084988829,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.2, 'e': 0.019682999211721196}",30,15,23.696012681448757,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.2, 'e': 0.019526163397740135}",30,8,40.92406671564374,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.2, 'e': 0.01937057726488147}",20,6,25.46155683448683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.2, 'e': 0.019216230855579598}",20,16,6.865563153503077,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.2, 'e': 0.019063114291611637}",20,13,13.83931094227523,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.2, 'e': 0.018911217773465227}",25,8,32.78379226609439,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.2, 'e': 0.018760531579711363}",25,0,41.009149888611496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
499,False,"{'a': 0.2, 'e': 0.01861104606638221}",20,16,8.861776210113813,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
